                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8337,                 3.1507,                  1.906,                0.00296,                0.88889,                0.07646,                0.02068,                 2.5029,                 3.2969,                 2.1796,                0.09505,                  5e-05,                  5e-05
                      1,                 1.5602,                 2.7844,                 1.6115,                0.00333,                      1,                0.07531,                0.01553,                  3.194,                 3.6754,                 2.5776,               0.089105,             0.00010456,             0.00010456
                      2,                 1.6088,                 2.3208,                 1.5313,                0.00296,                0.88889,                0.05914,                0.01478,                 3.3508,                 3.3757,                 2.8675,               0.083153,             0.00015317,             0.00015317
                      3,                 1.5157,                 1.8763,                 1.4637,                0.00259,                0.77778,                 0.0331,                0.00555,                 3.2828,                 3.2493,                 2.8049,               0.077196,             0.00019585,             0.00019585
                      4,                 1.4082,                  1.756,                 1.4044,                0.00342,                      1,                0.07872,                 0.0169,                 2.8414,                 3.1531,                 2.5225,               0.071233,             0.00023258,             0.00023258
                      5,                 1.3978,                 1.6062,                 1.4006,                0.00926,                0.88889,                0.11378,                0.03404,                  2.692,                  3.155,                 2.5148,               0.065263,             0.00026337,             0.00026337
                      6,                 1.2915,                  1.269,                 1.2825,                 0.0103,                0.88889,                0.20098,                0.05853,                  2.291,                 3.1613,                 2.1367,               0.059288,             0.00028823,             0.00028823
                      7,                 1.1706,                  1.198,                 1.2478,                0.00872,                0.88889,                0.23825,                0.03771,                 2.3772,                 3.3521,                 2.2732,               0.053307,             0.00030714,             0.00030714
                      8,                 1.1329,                 1.1199,                 1.2166,                      1,                0.21472,                 0.2828,                0.09487,                 2.4522,                 3.1616,                 2.4393,                0.04732,             0.00032012,             0.00032012
                      9,                 1.3264,                  1.146,                 1.3132,                0.93072,                0.22222,                0.35099,                0.10371,                 2.6787,                 2.7567,                 2.6736,               0.041327,             0.00032715,             0.00032715
                     10,                0.98467,                0.88994,                  1.106,                0.51633,                0.22222,                0.51663,                0.11374,                  2.661,                 2.5989,                 2.5598,               0.035328,             0.00032825,             0.00032825
                     11,                 1.0082,                0.85162,                 1.1529,                0.57008,                0.22222,                0.51643,                0.13542,                 2.6089,                 2.6992,                 2.5013,               0.029323,              0.0003234,              0.0003234
                     12,                0.94526,                0.79916,                 1.0864,                0.52777,                0.33333,                0.50477,                0.16244,                  2.522,                 2.6723,                  2.385,               0.023313,             0.00031262,             0.00031262
                     13,                0.85039,                0.76351,                 1.0241,                0.59157,                0.44444,                0.58203,                 0.1777,                 2.4894,                 2.4699,                 2.4482,               0.017296,             0.00029589,             0.00029589
                     14,                0.80674,                0.69372,                0.98609,                      1,                0.43612,                0.55844,                0.17942,                 2.4419,                  2.299,                 2.4863,               0.011273,             0.00027323,             0.00027323
                     15,                0.80934,                0.66685,                  1.012,                0.96912,                0.33333,                0.51663,                0.26224,                 2.3137,                 2.0675,                 2.4564,              0.0052446,             0.00024463,             0.00024463
                     16,                0.76465,                0.69513,                 1.0068,                0.96648,                0.33333,                0.54541,                0.26654,                 2.3419,                 1.9659,                 2.4641,               0.000208,               0.000208,               0.000208
                     17,                0.81741,                0.64775,                  0.993,                 0.7986,                0.44133,                0.58899,                0.31074,                 2.2221,                 1.8013,                 2.3645,               0.000208,               0.000208,               0.000208
                     18,                0.74946,                0.60699,                 0.9647,                0.79689,                0.43752,                0.57603,                0.29934,                 2.2116,                 1.6921,                 2.3693,              0.0001585,              0.0001585,              0.0001585
                     19,                0.72037,                0.58796,                 0.9587,                0.62099,                0.55556,                0.54257,                0.29103,                 2.1827,                 1.6953,                 2.3006,               0.000109,               0.000109,               0.000109
